
"Results of DICE-2016R model run using model DICER3-base.csv"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",0.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,39.3836936187,42.9317332530,46.3500626764,49.6064559213,52.6746847475,55.5338979827,58.1679798262,60.5649239920,62.7162465934,64.6164502868,66.2625447611,67.6536235241,68.7904934668,69.6753512566,70.3114985963,70.7030860777,70.8548718187,70.7719749064,70.4614328363,69.9301122980,69.1847658825,68.2320421781,67.0784711399,65.7304374035,64.1941487166,62.4756034273,60.5805590890,58.5145031679,56.2826262503,53.8897978334,51.3405446344,48.6390312966,45.7890433713,42.7939724735,39.6568035335,36.3801040361,32.9660149672,29.4162426643,25.7320494461,21.9142378718,17.9631168750,13.8784241539,9.6591508598,5.3031582297,-6.6897079411,-18.1415525196,-29.0507956501,-39.4168896984,-49.2415414019,-58.5289982250,-67.2859074940,-75.5210027893,-83.2447411759,-90.4689482395,-97.2064944477,-103.4710097282,-109.2766345766,-114.6378010174,-119.5690322049,-124.0847437592,-128.1990205786,-131.9253274229,-135.2760860391,-138.2620105288,-140.8910291924,-143.1665294179,-141.3537875256,-127.0795505402,-108.8680376776,-86.7470276015,-62.0943606618,-37.8454098146,-17.1236551470,-1.5285370616,8.9127252982,14.7530545112,16.4675364765,15.0303357555,12.0386112807,8.3548055791,3.9844672728,3.0955671576,2.3328242661,1.7107686111,1.2181512875,0.8415226593,0.5687999511,0.3915843685,0.3069089286,0.5017716186,0.5854051374,0.8403521690,1.2900976677,1.9668485536,2.9094821004,4.1374087245,5.7635469053,7.6977791566,10.7156968485
"Atmospheric concentration C (ppm)",399.5305164319,418.4656574075,438.3088415274,459.1466809528,481.0045605989,503.8630627898,527.6718736701,552.3596401544,577.8409770007,604.0214606866,630.8011958916,658.0773661404,685.7460585556,713.7035673422,741.8473203669,770.0765302017,798.2926396900,826.3996082851,854.3040656178,881.9153395587,909.1465216694,935.9141018268,962.1377353223,987.7400770649,1012.6466465205,1036.7857036537,1060.0881255507,1082.4872786473,1103.9188843500,1124.3208773611,1143.6332567946,1161.7979305497,1178.7585535732,1194.4603607125,1208.8499948838,1221.8753312972,1233.4852984857,1243.6296968602,1252.2590153722,1259.3242463900,1264.7766976315,1268.5677969143,1270.6488785141,1270.9709247850,1269.4842049952,1266.1376887546,1256.0780873737,1240.2651025126,1219.4254407566,1194.1268062691,1164.8272716950,1131.9083587994,1095.6972857763,1056.4819817384,1014.5212582835,970.0517320403,923.2925652232,874.4487408002,823.7133553428,771.2692573443,717.2902570351,661.9420696628,605.3831188341,547.7653157408,489.2349444514,429.9338281190,370.0010357959,309.5755278657,251.1892242289,202.4495679165,164.6665908250,139.2130152151,126.6348197316,125.7407062708,133.6607818396,146.9596205233,162.6201726081,178.2794631500,192.0419009742,202.7116323555,210.0936693288,214.4087731625,215.7227529122,216.6623410578,217.3124377005,217.7565410975,218.0625106032,218.2846760910,218.4672775293,218.6484663467,218.8646209125,219.2721398441,219.7629962267,220.4303562324,221.3745305421,222.7092258944,224.5655914537,227.0790778322,230.4503359034,234.8087129759
"Atmospheric Temperature ",0.8500000000,1.0163416484,1.1892306821,1.3679223581,1.5517382033,1.7400122810,1.9320690888,2.1272196666,2.3247673028,2.5240174603,2.7242887063,2.9249228452,3.1252933680,3.3248118882,3.5229325669,3.7191547069,3.9130237748,4.1041311327,4.2891568657,4.4681583758,4.6411843630,4.8082785272,4.9694820621,5.1248352606,5.2743784629,5.4181525153,5.5561988659,5.6885593927,5.8152760353,5.9363902844,6.0519425694,6.1619715730,6.2665134941,6.3656012713,6.4592637769,6.5475249829,6.6304031003,6.7079096862,6.7800487139,6.8468155945,6.9081961373,6.9641654310,7.0146866198,7.0597095337,7.0991691058,7.1329834557,7.1590156405,7.1757459631,7.1820701686,7.1771610444,7.1603709967,7.1311613899,7.0890493541,7.0335657658,6.9642199437,6.8804676817,6.7816798052,6.6671085888,6.5358491439,6.3867922010,6.2185634118,6.0294420037,5.8172476263,5.5791771236,5.3115597456,5.0094733751,4.6661096486,4.2716496244,3.8161840009,3.3038593790,2.7467490355,2.1711157382,1.6182999667,1.1320235576,0.7400336753,0.4481772360,0.2469696962,0.1197696982,0.0476870516,0.0128200559,0.0006355674,0.0000000000,0.0018612005,0.0049787804,0.0084921128,0.0118617900,0.0147863525,0.0171367386,0.0189085618,0.0201907758,0.0211490722,0.0223079353,0.0238592066,0.0261940517,0.0298912178,0.0357191317,0.0446427593,0.0577915895,0.0765652908,0.1023939680
"Output Net Net) ",125.9966739735,150.0490413909,176.7328730507,206.0950645711,238.1743131624,273.0018892155,310.6022250339,350.9933726281,394.1873703941,440.1905500537,489.0038063948,540.6228433646,595.0384004484,652.2364514843,712.1983508677,774.9008730931,840.3160386539,908.4105192817,979.2055049975,1052.6927643058,1128.8594197045,1207.6891181224,1289.1628720754,1373.2596910232,1459.9570810917,1549.2314640759,1641.0585486315,1735.4136749649,1832.2721468785,1931.6095607270,2033.4021387812,2137.6270747543,2244.2629021733,2353.2899036638,2464.6905934476,2578.4503329798,2694.5581905168,2813.0082496190,2933.8017446877,3056.9507185483,3182.4844755121,3310.4611538597,3440.9886374846,3574.2624141378,3710.6339398440,3849.0214824366,3989.9120006846,4133.3686904139,4279.5753084593,4428.7827497456,4581.2768247987,4737.3588948861,4897.3342874446,5061.5054116579,5230.1677040495,5403.6072556933,5582.0993889250,5765.9076583409,5955.2828096190,6150.4611248492,6351.6612976506,6559.0783925956,6772.8723776171,6993.1468421953,7219.9102782203,7453.0068150103,7691.9941729356,7942.7471164065,8220.1830717287,8511.0407009413,8807.8092549864,9099.5851804328,9375.2158215218,9628.4200164365,9859.3565557796,10071.9592918197,10270.9652488336,10460.4002413683,10643.1645824508,10821.1371167233,10995.4471481518,11166.7098892813,11335.5036788480,11501.8862634147,11665.8339289679,11827.1396253876,11985.3452422685,12139.5933700512,12288.3459723355,12428.8669895378,12556.2784103792,12773.5686226408,12970.1317449113,13151.3448616546,13321.0116530277,13481.8302230100,13635.7147032514,13784.0225711759,13927.7037323978,14067.4208741980
"Climate Damages fraction output",0.0017051000,0.0024377628,0.0033376763,0.0044160593,0.0056826238,0.0071452369,0.0088096227,0.0106791499,0.0127547215,0.0150347674,0.0175153275,0.0201902098,0.0230512024,0.0260883229,0.0292900871,0.0326437837,0.0361357419,0.0397515860,0.0434166052,0.0471160767,0.0508357978,0.0545621201,0.0582819746,0.0619828900,0.0656530009,0.0692810490,0.0728563762,0.0763689108,0.0798091475,0.0831681219,0.0864373809,0.0896089491,0.0926752916,0.0956292757,0.0984641290,0.1011733968,0.1037508988,0.1061906836,0.1084869829,0.1106341657,0.1126266903,0.1144590564,0.1161257550,0.1176212169,0.1189397567,0.1200755090,0.1209535517,0.1215195391,0.1217338313,0.1215674720,0.1209993542,0.1200141721,0.1186009050,0.1167516718,0.1144608482,0.1117243718,0.1085391871,0.1049027952,0.1008128847,0.0962670305,0.0912624529,0.0857958433,0.0798632731,0.0734602330,0.0665818940,0.0592237834,0.0513832870,0.0430628976,0.0343692944,0.0257605488,0.0178053274,0.0111244348,0.0061805917,0.0030242865,0.0012924536,0.0004740363,0.0001439459,0.0000338537,0.0000053668,0.0000003879,0.0000000010,0.0000000000,0.0000000082,0.0000000585,0.0000001702,0.0000003321,0.0000005160,0.0000006931,0.0000008438,0.0000009621,0.0000010556,0.0000011744,0.0000013435,0.0000016193,0.0000021086,0.0000030110,0.0000047034,0.0000078821,0.0000138349,0.0000247435
"Consumption Per Capita ",12.6020357599,14.2107261238,15.9650313312,17.8702068000,19.9313805688,22.1534007459,24.5407253760,27.0973440088,29.8267238728,32.7317758108,35.8148365754,39.0776651168,42.5214514246,46.1468376197,49.9539527865,53.9424662063,58.1116695927,62.4606102317,66.9897955035,71.6990314046,76.5875901659,81.6543290300,86.8977775263,92.3162043761,97.9076711312,103.6700770920,109.6011983847,115.6987230264,121.9602830824,128.3834845445,134.9659351350,141.7052698308,148.5991732623,155.6453972148,162.8417696363,170.1861884089,177.6765872268,185.3108500914,193.0866310568,201.0009993907,209.0497638227,217.2262087931,225.5187579475,233.9066928440,242.3523794432,250.9925895411,259.8098242609,268.8044440184,277.9872761567,287.3751894457,296.9884580390,306.8492065724,316.9805097975,327.4058903780,338.1490619384,349.2338277832,360.6840871189,372.5239275529,384.7778085359,397.4708641316,410.6293903122,424.2816337427,438.4590798434,453.1985575405,468.5456363484,484.5599429482,501.3229567278,518.9502230758,537.4753740914,556.4687441929,575.4243343231,593.8313903489,611.2761179257,627.5277967545,642.5659534120,656.5304228511,669.6335918666,682.0879456620,694.0683977591,705.7028172636,717.0782622825,728.2531500011,739.2713148243,750.1623740138,760.9557909247,771.6898354556,782.4240387906,793.2591079913,804.3711287108,816.0726302221,809.8500756132,823.8646614507,836.5424114963,848.2301338392,859.1731556930,869.5454972724,879.4706145138,889.0360605680,898.3031012660,907.3144776293
"Carbon Price (per t CO2)",2.4151157107,2.6497939277,2.9255866080,3.2300840120,3.5662737503,3.9374543867,4.3472678018,4.7997349264,5.2992951927,5.8508500927,6.4598112698,7.1321536153,7.8744738921,8.6940554595,9.5989397348,10.5980050923,11.7010539746,12.9189090706,14.2635195031,15.7480780695,17.3871506838,19.1968192923,21.1948396632,23.4008155990,25.8363912821,28.5254636385,31.4944168057,34.7723810031,38.3915183471,42.3873384127,46.7990466402,51.6699290035,57.0477767155,62.9853551368,69.5409214893,76.7787964532,84.7699952568,93.5929244504,103.3341512010,114.0892526560,125.9637537089,139.0741623690,153.5491128927,169.5306278933,187.1755118114,250.5750451243,318.2769059829,389.3602041943,463.0665109984,538.7585317091,615.8931429659,694.0027450023,772.6817692285,851.5765587093,930.3775532361,1008.8131064741,1086.6444942397,1163.6618147014,1239.6805714150,1314.5387893152,1388.0945537966,1460.2238907504,1530.8189250605,1599.7862692532,1667.0456044295,1732.5284233991,1796.1769118484,1795.7643164152,1590.6996058002,1326.6210098071,1016.9375829167,699.1993497794,425.3620426751,229.6377634742,111.1049073513,48.9550089150,21.5386214928,13.5447266184,16.0648279885,24.8942241752,38.9328736354,59.9634497687,62.9524666475,65.4395654012,67.2661077741,68.4365140291,68.9820007933,68.9365914531,68.3186277145,67.1149852364,63.9394336685,61.6224909600,58.0975826465,53.2145347477,46.8171890697,38.8128723709,29.4254240809,18.6777938526,8.3631894635,0.0000000000
"Emissions Control Rate",0.0300000000,0.0322971885,0.0349069875,0.0377276733,0.0407762867,0.0440712457,0.0476324563,0.0514814333,0.0556414299,0.0601375781,0.0649970410,0.0702491765,0.0759257149,0.0820609502,0.0886919480,0.0958587685,0.1036047095,0.1119765672,0.1210249192,0.1308044302,0.1413741821,0.1527980308,0.1651449923,0.1784896595,0.1929126527,0.2085011069,0.2253491981,0.2435587121,0.2632396598,0.2845109415,0.3075010653,0.3323489237,0.3592046322,0.3882304368,0.4196016936,0.4535079289,0.4901539833,0.5297612502,0.5725690125,0.6188358887,0.6688413952,0.7228876348,0.7813011221,0.8444347558,0.9126699510,1.1126699510,1.3126699510,1.5126699510,1.7126699510,1.9126699510,2.1126699510,2.3126699510,2.5126699510,2.7126699510,2.9126699510,3.1126699510,3.3126699510,3.5126699510,3.7126699510,3.9126699510,4.1126699510,4.3126699510,4.5126699510,4.7126699510,4.9126699510,5.1126699510,5.3126699510,5.3966293853,5.0825479141,4.6097543482,3.9663591776,3.1884591225,2.3743871974,1.6409733078,1.0590216538,0.6446394628,0.3920369347,0.2980535591,0.3368856986,0.4500323802,0.6046471957,0.8046471957,0.8427164189,0.8771439151,0.9065993490,0.9310430361,0.9505978183,0.9653619800,0.9752548883,0.9798632709,0.9657859832,0.9588144125,0.9388980274,0.9029436980,0.8467733910,0.7651487063,0.6538224144,0.4999869852,0.3074218902,0.0000000000
