
"Results of DICE-2016R model run using model DICER3-opt.csv"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,33.2189061148,35.2631174219,36.9618616911,38.2789830108,39.1867300806,39.6651387099,39.7013702665,39.2890524975,38.4276519407,37.1218940287,35.3812371381,33.2193991200,30.6539279923,27.7058009149,24.3990251901,20.7601987683,16.8179607443,12.6010746704,8.1411482009,3.4720634652,-1.3699088975,-6.3459651934,-11.4145808040,-16.5312703348,-21.6482892357,-26.7142718267,-31.6738026641,-36.4669220928,-41.0285746219,-45.2880234062,-49.1682804424,-52.5856472429,-55.4495350590,-57.6628502096,-59.1234016506,-59.7270177972,-59.3733194758,-57.9752834589,-55.4736087760,-51.8560481908,-47.1797854590,-41.5914847499,-35.3359391892,-28.7433678558,-22.1909490901,-16.0458841572,-10.6080620229,-6.0713757589,-2.5129788202,0.0926608911,1.8452230641,2.8863634661,3.3715868513,3.4498932360,3.2517018507,2.8836168121,2.4278885745,1.9445791030,1.4749503637,1.0451518712,0.6697077299,0.3545740194,0.0996959307,-0.0989286064,-0.2476371140,-0.3538871854,-0.4253808952,-0.4694651599,-0.4927639313,-0.5009821445,-0.4988426898,-0.4901156374,-0.4777062475,-0.4637752977,-0.4498731753,-0.4370681079,-0.4260604421,-0.4172708657,-0.4108975576,-0.4069323119,-0.4051278299,-0.4049039778,-0.4051847802,-0.4041406125,-0.3988458064,-0.3848083401,-0.3554009572,-0.3011960211,-0.2092285186,0.1261898051,0.3093982884,0.6432281880,1.1558512695,1.8827293262,2.8645224847,4.1441126027,5.7430484846,7.7098677727,10.7156929096
"Atmospheric concentration C (ppm)",399.5305164319,418.4656574075,434.3613968551,450.7625516780,467.5222179951,484.4741879513,501.4397941902,518.2332794108,534.6660505649,550.5500866514,565.7007024116,579.9388202457,593.0928644303,605.0003615374,615.5093058385,624.4793254507,631.7826606281,637.3049352346,640.9456590444,642.6175996279,642.2481075304,639.7800111588,635.1725825056,628.4025840324,619.4654158626,608.3763873952,595.1721405684,579.9122539890,562.6810578379,543.5896877997,522.7784000128,500.4191542749,476.7184428441,451.9202865650,426.3092225191,400.2129448733,374.0040037294,348.0995865479,322.9578940976,299.0690334773,276.9378837892,257.0564882355,239.8649069185,225.7028625814,214.7598801603,207.0369949254,202.3344826685,200.2740655461,200.3521244790,202.0093939306,204.6989082254,207.9382234428,211.3398354800,214.6207567682,217.5963656489,220.1649215742,222.2884208924,223.9737994088,225.2567122376,226.1887355559,226.8279634095,227.2325457139,227.4565763231,227.5477557084,227.5463356254,227.4849500649,227.3890260520,227.2775428294,227.1639669653,227.0572430473,226.9627507193,226.8831759338,226.8192636261,226.7704385005,226.7352944505,226.7119623884,226.6983708871,226.6924202698,226.6920901460,226.6955035738,226.7009701938,226.7070339137,226.7125528070,226.7168441145,226.7199297878,226.7229318698,226.7286567814,226.7424335794,226.7732479120,226.8352110449,226.9493872434,227.2666261512,227.6673043410,228.2443906160,229.0983724905,230.3430794884,232.1092274472,234.5455765568,237.8049073764,242.0626800589
"Atmospheric Temperature ",0.8500000000,1.0163416484,1.1844018662,1.3538759681,1.5243167586,1.6951570875,1.8657370081,2.0353312729,2.2031746270,2.3684835717,2.5304740818,2.6883752727,2.8414393128,2.9889480237,3.1302166652,3.2645953824,3.3914687383,3.5102536646,3.6174401580,3.7128765936,3.7963804116,3.8677390080,3.9267097102,3.9730190756,4.0063617397,4.0263990549,4.0327578040,4.0250293511,4.0027697233,3.9655013124,3.9127171827,3.8438893974,3.7584833756,3.6559811139,3.5359171645,3.3979325118,3.2418527061,3.0677972022,2.8763255622,2.6686207989,2.4466975230,2.2136000560,1.9735250540,1.7317772598,1.4944726439,1.2679679045,1.0581125080,0.8695251560,0.7051085661,0.5659168581,0.4513488055,0.3595451070,0.2878503469,0.2332361171,0.1926321931,0.1631532820,0.1422326428,0.1276834959,0.1177099750,0.1108860745,0.1061165579,0.1025896112,0.0997276852,0.0971405247,0.0945826735,0.0919165974,0.0890818012,0.0860698236,0.0829046758,0.0796281125,0.0762890228,0.0729362097,0.0696138516,0.0663589971,0.0632005281,0.0601591197,0.0572478187,0.0544729575,0.0518352045,0.0493306301,0.0469517379,0.0446884747,0.0425292989,0.0404624526,0.0384776482,0.0365684692,0.0347358390,0.0329930187,0.0313726298,0.0299362201,0.0287868588,0.0283685616,0.0287860213,0.0303470024,0.0335509563,0.0390901198,0.0478543669,0.0609314993,0.0795668107,0.1051598530
"Output Net Net) ",125.9966739735,150.0224470033,176.7126414783,206.0815179045,238.1738619685,273.0290514477,310.6822491581,351.1654775977,394.5086024147,440.7402468754,489.8886537148,541.9825045144,597.0516996852,655.1280928236,716.2461584359,780.4435452818,847.7614159983,918.2443718540,991.9913157893,1069.0824865483,1149.6017142816,1233.6376425044,1321.2845941742,1412.6431738581,1507.8206539072,1606.9311590361,1710.0956357660,1817.4415667230,1929.1023611274,2045.2163178358,2165.9250109439,2291.3708836311,2421.6937450627,2557.0257389833,2697.4841869460,2843.1615178545,2994.1113397384,3150.3297459174,3311.7314887391,3478.1221839658,3649.1707100510,3824.3903371230,4003.1411592511,4184.6661819187,4368.1645478649,4552.8882847849,4738.2331510230,4923.7929363129,5109.3632246318,5294.9031492736,5480.4769221976,5666.1963313969,5852.1767765375,6038.5102915853,6225.2532317671,6412.4241159280,6600.0072364238,6787.9587474441,6976.2131795914,7164.6893201645,7353.2950599603,7541.9311795479,7730.4942190660,7918.8786237331,8106.9783456687,8294.6880450175,8481.9039961629,8668.5247711701,8854.4517498102,9039.5894907293,9223.8459896108,9407.1328408321,9589.3653167258,9770.4623675035,9950.3465360006,10128.9437667815,10306.1830555458,10481.9958395896,10656.3149527369,10829.0728149585,11000.1982865221,11169.6111712253,11337.2125864739,11502.8680529894,11666.3777713031,11827.4242913956,11985.4802097038,12139.6448035383,12288.3531465315,12428.8526399969,12556.2560728077,12773.5470285741,12970.1123192655,13151.3279367009,13320.9968041219,13481.8164496527,13635.7012404433,13784.0059415452,13927.6839013160,14067.3966449013
"Climate Damages fraction output",0.0017051000,0.0024377628,0.0033106264,0.0043258331,0.0054835581,0.0067815958,0.0082151000,0.0097764732,0.0114553891,0.0132389261,0.0151117858,0.0170565734,0.0190541146,0.0210837923,0.0231238850,0.0251518959,0.0271448621,0.0290796387,0.0308826610,0.0325336681,0.0340135100,0.0353041959,0.0363889560,0.0372523182,0.0378802052,0.0382600589,0.0383809998,0.0382340326,0.0378123105,0.0371114736,0.0361300796,0.0348701463,0.0333378256,0.0315442271,0.0295063961,0.0272484310,0.0248026772,0.0222108560,0.0195248670,0.0168068272,0.0141277359,0.0115640595,0.0091917307,0.0070777638,0.0052709384,0.0037942726,0.0026422609,0.0017843346,0.0011733403,0.0007558181,0.0004807692,0.0003050835,0.0001955445,0.0001283818,0.0000875729,0.0000628208,0.0000477431,0.0000384753,0.0000326993,0.0000290179,0.0000265753,0.0000248381,0.0000234716,0.0000222696,0.0000211123,0.0000199388,0.0000187279,0.0000174829,0.0000162207,0.0000149639,0.0000137352,0.0000125545,0.0000114368,0.0000103923,0.0000094266,0.0000085411,0.0000077345,0.0000070028,0.0000063411,0.0000057431,0.0000052025,0.0000047131,0.0000042686,0.0000038638,0.0000034940,0.0000031559,0.0000028475,0.0000025690,0.0000023228,0.0000021150,0.0000019557,0.0000018993,0.0000019556,0.0000021734,0.0000026566,0.0000036062,0.0000054045,0.0000087618,0.0000149409,0.0000260983
"Consumption Per Capita ",12.5834648476,14.1893123697,15.9390638311,17.8382818094,19.8924095757,22.1066803121,24.4860620177,27.0352304125,29.7585645387,32.6601612137,35.7438654066,39.0133142481,42.4719929559,46.1233016820,49.9706335244,54.0174663256,58.2674756808,62.7246863599,67.3949376262,72.2840576375,77.3980580100,82.7432819744,88.3265202997,94.1551027518,100.2369681961,106.5807127359,113.1956119392,120.0916097885,127.2792631659,134.7696262226,142.5740537636,150.7038970347,159.1700597229,167.9823782862,177.1487921229,186.6742808463,196.5595756626,206.7997080885,217.3825474690,228.2875926622,239.4853931703,250.9380202421,262.6009102400,274.4261103925,286.3665146248,298.3802507634,310.4341949247,322.5057899952,334.5828806077,346.6618976115,358.7451362325,370.8379306021,382.9463053648,395.0753641059,407.2284088883,419.4066356280,431.6092070735,443.8335275545,456.0755924136,468.3303344503,480.5919287746,492.8540427931,505.1100327051,517.3530938459,529.5763743042,541.7730600192,553.9364384823,566.0599463962,578.1372048306,590.1620449973,602.1285271806,614.0309543383,625.8638830473,637.6221337682,649.3008030649,660.8952834166,672.4012974274,683.8149581613,695.1328788591,706.3523679316,717.4717762598,728.4911118457,739.4131267119,750.2452331097,761.0028839088,771.7155358159,782.4371896790,793.2650951635,804.3731889450,816.0726743648,809.8486348931,823.8632686850,836.5411585887,848.2290422204,859.1721979744,869.5446089241,879.4697461952,889.0349879971,898.3018222094,907.3129148986
"Carbon Price (per t CO2)",2.4151157107,42.9906144686,50.8641053762,59.6654185466,69.4354919236,80.2123856488,92.0306758439,104.9207627688,118.9081005776,134.0123576145,150.2465189066,167.6159478872,186.1174358291,205.7382896086,226.4555492406,248.2354998615,271.0337721028,294.7965514104,319.4723239065,344.9909744449,371.2620126582,398.1722316690,425.5828312126,453.3260097794,481.2010142304,508.9696305752,536.3511093461,563.0165498246,588.5828315407,612.6062998362,634.5766172190,653.9115343185,669.9538837973,681.9729478351,689.1735840181,690.7181454951,685.7681270274,673.5539669193,653.4810113963,625.2745248869,589.1530932391,545.9955564348,497.4366898613,445.8103430134,393.8860599512,344.4311997037,299.7361421539,261.2804521788,229.6458480965,204.6527541201,185.6112893619,171.5756508519,161.5389750914,154.5546809320,149.7973479688,146.5834295539,144.3691361906,142.7372184419,141.3794540294,140.0784158785,138.6901819366,137.1286761778,135.3518964958,133.3500724083,131.1357186286,128.7355080366,126.1838500860,123.5180379624,120.7747477967,117.9877470316,115.1865394344,112.3957706800,109.6351860960,106.9199605591,104.2612522748,101.6668735164,99.1419586343,96.6895766728,94.3112064775,92.0070326541,89.7759841663,87.6154447635,85.5205278492,83.4828260457,81.4884180642,79.5151512402,77.5288479833,75.4785955863,73.2911298218,70.8645219886,66.6736930515,63.6313852513,59.5231028690,54.1700670700,47.3982479584,39.1078293590,29.3850364426,18.7841898514,8.3158889662,0.0000000000
"Emissions Control Rate",0.0300000000,0.1842959062,0.2079871012,0.2334683790,0.2607725951,0.2899322407,0.3209782564,0.3539388587,0.3888383691,0.4256960366,0.4645248521,0.5053303623,0.5481095075,0.5928495450,0.6395271812,0.6881081459,0.7385476391,0.7907924198,0.8447999690,0.9005027889,0.9578062481,1.0165852757,1.0766799770,1.1378901503,1.1999686186,1.2626132379,1.3254574017,1.3880588392,1.4498865105,1.5103054598,1.5685596420,1.6237530687,1.6748302431,1.7205579663,1.7595124567,1.7900786494,1.8104727696,1.8188046304,1.8132013147,1.7920154182,1.7541319107,1.6993582946,1.6288271976,1.5452716285,1.4529970763,1.3574357304,1.2643411843,1.1788709844,1.1048623971,1.0444909478,0.9983171732,0.9656009832,0.9447314148,0.9336487005,0.9301850139,0.9322972962,0.9381989975,0.9464144757,0.9557826856,0.9654323562,0.9747438983,0.9833072560,0.9908807646,0.9973534219,1.0027115966,1.0070104957,1.0103503627,1.0128572665,1.0146679908,1.0159189376,1.0167383042,1.0172412190,1.0175272710,1.0176798901,1.0177670810,1.0178431239,1.0179506609,1.0181228781,1.0183852204,1.0187562366,1.0192468187,1.0198570191,1.0205692263,1.0213364108,1.0220629503,1.0225769808,1.0225899689,1.0216424818,1.0190331501,1.0137277399,0.9913955766,0.9782326042,0.9532309046,0.9130432731,0.8533266288,0.7687777454,0.6532613957,0.5017651644,0.3063340375,0.0000000000
