
"Results of DICE-2016R model run using model resultslimt20.csv"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,31.1727027044,25.2271420804,17.7801163513,8.7974597180,0.3028887086,-5.9054461754,-12.7617425963,-19.6717475531,-25.3494924480,-26.9766038222,-18.1377990935,-9.8472691166,-8.9209934366,-8.1701125618,-7.5598452720,-7.0623883450,-5.2635704107,-9.3829697211,-13.3395090244,-17.0441836126,-20.4034912059,-23.3208185107,-25.6990966070,-27.4451009020,-28.4758675513,-28.7275238918,-28.1663242734,-26.8007184558,-24.6919670524,-21.9595866521,-18.7776516957,-15.3596449788,-11.9331233896,-8.7097069894,-5.8582472656,-3.4879764767,-1.6443793712,-0.3150607246,0.5503136572,1.0293609284,1.2119825874,1.1827309171,1.0130778981,0.7811169026,0.5155653679,0.2546735443,0.0232981463,-0.1665515240,-0.3124789471,-0.4173011192,-0.4875308663,-0.5289049699,-0.5489484051,-0.5528053046,-0.5456611195,-0.5306137683,-0.5116552625,-0.4908671017,-0.4695707687,-0.4493374877,-0.4314436464,-0.4165166085,-0.4050588544,-0.3975266486,-0.3937520313,-0.3928752679,-0.3927941308,-0.3917233584,-0.3877794050,-0.3715719069,-0.3790444393,-0.2376822131,-0.3689037981,-0.3593677576,-0.3501098058,-0.3527301898,-0.3534161268,-0.3514223669,-0.3478292801,-0.3424695198,-0.3369595278,-0.2610462159,-0.3324097056,-0.3283198462,-0.3561921713,-0.3933354509,-0.4066810634,-0.3648071820,-0.3621228404,-0.1640305552,-0.3954058343,-0.1082252128,0.1871844549,0.7258166248,1.6309370884,2.8714451987,4.5291820046,6.8653333289,10.7157030417
"Atmospheric concentration C (ppm)",399.5305164319,418.4656574075,433.0511692527,443.1833027348,448.5391824973,448.6886450296,444.4422324254,437.5692494042,427.6907559269,414.8497646573,399.8953089120,385.3703401471,377.6333057156,375.2969496110,372.9812783250,370.6859323075,368.4105619396,366.1548272100,364.8096853395,360.5249102094,353.8179654913,345.1200425223,334.8179134611,323.2820375001,310.8843324736,298.0075280061,285.0468901547,272.4043937796,260.4752204622,249.6269699235,240.1733113582,232.3458187693,226.2697457354,221.9503039956,219.2745641014,218.0302312655,217.9377092862,218.6882412178,219.9801808529,221.5481026635,223.1772585428,224.7114431027,226.0522185362,227.1486464167,227.9846419580,228.5812881461,228.9633775490,229.1680323048,229.2370956590,229.2105794513,229.1226253760,229.0003397778,228.8633039317,228.7256315167,228.5958268559,228.4791306923,228.3778715701,228.2930643010,228.2238567768,228.1688362443,228.1264269167,228.0946118861,228.0710612710,228.0534844881,228.0396177727,228.0271815786,228.0142278508,227.9994995516,227.9831163507,227.9662012192,227.9508511783,227.9448732789,227.9321307628,228.0090784960,227.9905255817,227.9802622960,227.9766234793,227.9710111736,227.9648999232,227.9600185882,227.9571948268,227.9573032172,227.9601289431,228.0105283937,228.0086334299,228.0102685902,227.9942985531,227.9567869802,227.9150533766,227.9040547050,227.8941861205,228.0105031533,227.9629466144,228.1062557135,228.4213581083,229.0467225939,230.1864933919,232.0063393202,234.7139862804,238.6709701889
"Atmospheric Temperature ",0.8500000000,1.0163416484,1.1827893905,1.3434191820,1.4930754836,1.6269603038,1.7418681214,1.8370104692,1.9110688570,1.9626755535,1.9913909483,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,2.0000000000,1.9983497610,1.9909112524,1.9747015151,1.9475736431,1.9080260155,1.8550990804,1.7883348472,1.7077822233,1.6140337207,1.5082769331,1.3923385460,1.2686918417,1.1403952647,1.0109360942,0.8839745061,0.7630167516,0.6510786715,0.5504138590,0.4623644264,0.3873540462,0.3250028475,0.2743208828,0.2339210890,0.2022233485,0.1776251903,0.1586203518,0.1438681444,0.1322570505,0.1228812032,0.1150405272,0.1082237034,0.1020787283,0.0963783660,0.0909876267,0.0858344121,0.0808887554,0.0761443846,0.0716080977,0.0672913009,0.0632063516,0.0593620679,0.0557628642,0.0524089260,0.0492957130,0.0464138256,0.0437497142,0.0412862686,0.0390032330,0.0368783796,0.0348893742,0.0330170075,0.0312471391,0.0295723255,0.0280043312,0.0265155988,0.0253079172,0.0241235853,0.0229809483,0.0218920607,0.0208472642,0.0198415564,0.0188745882,0.0179479575,0.0170650705,0.0162283595,0.0155449285,0.0148743128,0.0142247410,0.0135538724,0.0128155336,0.0120099644,0.0112191921,0.0104453553,0.0099831125,0.0094101523,0.0091888090,0.0096766857,0.0115067063,0.0156984530,0.0235047058,0.0364542389,0.0566209671
"Output Net Net) ",125.6492445508,148.4526997744,173.7109759000,200.8253987422,229.0884128520,258.7871595362,291.3982699015,326.0753955163,362.9121294251,402.6580688375,447.7453347402,503.7951317721,564.7191680175,626.4472064488,691.4151594329,759.7614871496,831.6225207338,907.8229640059,985.5417780123,1066.6302814103,1151.4799359388,1240.4331907873,1333.7940098676,1431.8291184169,1534.7617413050,1642.7593057916,1755.9169479703,1874.2397016804,1997.6277684322,2125.8705939814,2258.6554340851,2395.5934354423,2536.2608386776,2680.2467124361,2827.1950970284,2976.8311784329,3128.9673220061,3283.4919236433,3440.3486284464,3599.5116389541,3760.9666154298,3924.6962462926,4090.6703031072,4258.8412944586,4429.1483843922,4601.5086107080,4775.8282196929,4952.0018801154,5129.9144961705,5309.4433202021,5490.4601923928,5672.8331879963,5856.4285681186,6041.1114566852,6226.7472879331,6413.2021883041,6600.3438120151,6788.0413687974,6976.1663159039,7164.5925335083,7353.1964156460,7541.8571056180,7730.4567133174,7918.8804020906,8107.0164966004,8294.7566466348,8481.9959264724,8668.6330010637,8854.5700172790,9039.7126593880,9223.9710639096,9407.2541992896,9589.4957881691,9770.5770561320,9950.4535220414,10129.0432612885,10306.2743691661,10482.0794079776,10656.3914881475,10829.1430702132,11000.2630616958,11169.6710767022,11337.2741678356,11502.9219637299,11666.4282351156,11827.4696561517,11985.5193887300,12139.6785381395,12288.3847205671,12428.8788914075,12556.2752664333,12773.5325096143,12970.0911372458,13151.2953825138,13320.9617103274,13481.7943284065,13635.7052237365,13784.0495884587,13927.7728468058,14067.4988217227
"Climate Damages fraction output",0.0044578250,0.0063733036,0.0086317729,0.0111354624,0.0137546230,0.0163319890,0.0187204251,0.0208213281,0.0225339764,0.0237674282,0.0244679859,0.0246800000,0.0246800000,0.0246800000,0.0246800000,0.0246800000,0.0246800000,0.0246800000,0.0246392889,0.0244561994,0.0240595823,0.0234030759,0.0224622754,0.0212333923,0.0197325332,0.0179949292,0.0160734969,0.0140361287,0.0119612029,0.0099311024,0.0080240934,0.0063056893,0.0048213054,0.0035921405,0.0026154842,0.0018692349,0.0013190279,0.0009257663,0.0006517177,0.0004643045,0.0003376167,0.0002523177,0.0001946679,0.0001552398,0.0001277069,0.0001079252,0.0000931657,0.0000816558,0.0000722653,0.0000642918,0.0000573118,0.0000510799,0.0000454578,0.0000403703,0.0000357735,0.0000316380,0.0000279385,0.0000246494,0.0000217422,0.0000191856,0.0000169471,0.0000149935,0.0000132917,0.0000118096,0.0000105171,0.0000093861,0.0000083913,0.0000075105,0.0000067261,0.0000060243,0.0000053958,0.0000048388,0.0000043380,0.0000039518,0.0000035906,0.0000032585,0.0000029570,0.0000026815,0.0000024291,0.0000021981,0.0000019875,0.0000017968,0.0000016249,0.0000014909,0.0000013651,0.0000012485,0.0000011335,0.0000010133,0.0000008900,0.0000007766,0.0000006732,0.0000006149,0.0000005464,0.0000005210,0.0000005777,0.0000008169,0.0000015205,0.0000034087,0.0000081994,0.0000197806
"Consumption Per Capita ",12.7064963399,14.0873031436,15.5921057121,17.1852805395,18.8547935772,20.6268003973,22.5545573757,24.6672539036,27.0213090242,29.6982399584,32.7779280931,36.2604346526,40.0222784244,43.9717108326,48.1209876275,52.4789964505,57.0504906981,61.8324941629,66.7999492979,71.9897814314,77.4323280456,83.1531628217,89.1739458150,95.5125504844,102.1826711548,109.1931037036,116.5469119337,124.2407274452,132.2644531885,140.6016150373,149.2305026140,158.1260561472,167.2622362133,176.6144371297,186.1614588713,195.8866742931,205.7782647250,215.8286559627,226.0334518023,236.3901911684,246.8972337854,257.5528882176,268.3548241806,279.2997704485,290.3834427181,301.6004835087,312.9446681112,324.4090213357,335.9859493802,347.6673780715,359.4448877652,371.3098288152,383.2534247524,395.2668456273,407.3412746398,419.4679534335,431.6382198748,443.8435330885,456.0754983225,468.3258833185,480.5866315710,492.8498735566,505.1079379146,517.3533590453,529.5788862838,541.7774919362,553.9423728669,566.0669595700,578.1449171555,590.1701391856,602.1367634273,614.0391408487,625.8719315025,637.6296813306,649.3078379196,660.9018071672,672.4073122355,683.8204930605,695.1379756457,706.3570734219,717.4761435428,728.4951676261,739.4169244251,750.2486677976,761.0059165032,771.7181407423,782.4393417750,793.2667333827,804.3743116394,816.0731587745,809.8498728362,823.8623322467,836.5397923992,848.2269425536,859.1699345092,869.5431821572,879.4700031080,889.0378031172,898.3075589777,907.3195050554
"Carbon Price (per t CO2)",2.4151157107,61.2792002712,162.5933188166,292.0805661584,442.6773955354,576.4262144093,661.5350803608,748.0732528884,827.5420126773,881.9663999515,872.8844028638,722.4027246904,598.1004511443,569.8259068351,545.4806314507,524.1192208815,505.0624379792,475.3156387128,498.7767794876,519.7304817699,537.6791210414,552.0671545224,562.3094624373,567.8270848681,568.0951593824,562.7064043704,551.4496593975,534.3964495339,511.9792564624,485.0360249669,454.7920161736,422.7596698290,390.5623892031,359.7199432021,331.4543643880,306.5691758602,285.4242673037,267.9917080124,253.9504271285,242.8303555217,234.0764532156,227.1218649161,221.4679214680,216.7101937805,212.4209788547,208.4439729510,204.5727976960,200.6729325227,196.6781836782,192.5733622166,188.3708408533,184.1026578698,179.7964868672,175.4897286398,171.2069285872,166.9730293011,162.8017337334,158.7119047721,154.7121314270,150.8069942818,147.0026771493,143.3039551628,139.7121638169,136.2281086818,132.8525067131,129.5826309967,126.4117880335,123.3259067139,120.3124859523,117.3581419213,114.4037947279,111.6646735820,108.0830523297,106.2438544950,103.6064231920,101.0352346572,98.6027372281,96.2204743671,93.8816674871,91.5913794557,89.3466834938,87.1566244074,84.5428099047,82.9822000840,80.9610274925,79.2149663287,77.5895756178,75.8480618672,73.7542433142,71.9898549149,68.8157870540,68.8700090442,65.0751460688,61.2517240559,55.6585747045,47.5220962066,37.4158944778,25.4787153910,11.8542967739,0.0000000000
"Emissions Control Rate",0.0300000000,0.2300000000,0.4300000000,0.6300000000,0.8300000000,0.9945129514,1.1011925915,1.2081056793,1.3073165039,1.3821067950,1.3950961831,1.2592600249,1.1369313809,1.1206278378,1.1078519770,1.0977680137,1.0897567119,1.0659204963,1.1160264958,1.1633666150,1.2072697722,1.2469366864,1.2814633632,1.3098716864,1.3311560958,1.3443553545,1.3486560523,1.3435284828,1.3288837595,1.3052242327,1.2737421368,1.2363148332,1.1953614285,1.1535665760,1.1135296754,1.0774307740,1.0467982703,1.0224195617,1.0043694857,0.9922289460,0.9851859917,0.9822083096,0.9822751263,0.9844883498,0.9877714905,0.9917416730,0.9958232615,0.9996085276,1.0028689550,1.0055213994,1.0075679570,1.0090796582,1.0101207234,1.0107981986,1.0111837822,1.0113589676,1.0113707328,1.0112919400,1.0111613290,1.0110049082,1.0108581783,1.0107539039,1.0107123415,1.0107529129,1.0108960699,1.0111469436,1.0114906594,1.0118722974,1.0122389881,1.0125273286,1.0124145366,1.0131006503,1.0084998418,1.0136530595,1.0137672094,1.0138862036,1.0144868024,1.0150328396,1.0154838519,1.0158773213,1.0161978648,1.0165157723,1.0132611923,1.0175041554,1.0179236932,1.0201625051,1.0230905113,1.0247651948,1.0230528256,1.0237592847,1.0111846262,1.0278183332,1.0078690464,0.9859177855,0.9434554954,0.8683518351,0.7597455779,0.6070733502,0.3823179608,0.0000000000
