
"Results of DICE-2016R model run using model resultslimt25av200.csv"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,31.2999291910,28.0968218571,28.3241514700,28.0379457629,27.2193837697,25.8624977465,23.9727730998,21.5659060926,18.6666952201,15.3080554731,11.5301552786,7.3796813433,2.9092349208,-1.8231490173,-6.7543967285,-11.8167981458,-16.9386144082,-22.0490708230,-27.0700454973,-31.9142843382,-36.4837917919,-40.6680733697,-44.3425185864,-47.3674730768,-49.5889951609,-50.8429077335,-50.9645106560,-49.8068705070,-47.2701467827,-43.3415298608,-38.1386543382,-31.9396642044,-25.1767671588,-18.3779003606,-12.0667523651,-6.6587438024,-2.3947084410,0.6691347804,2.6252561508,3.6577796008,3.9871009916,3.8288310378,3.3698332117,2.7582855381,2.1028226707,1.4767548101,0.9242020437,0.4667353142,0.1095786658,-0.1508955335,-0.3369411320,-0.4463823096,-0.5082140002,-0.5332611505,-0.5338934972,-0.5199098155,-0.4985305149,-0.4595800865,-0.4601319754,-0.4369726447,-0.4169141757,-0.4009887560,-0.3869031080,-0.3736274498,-0.3622202334,-0.3551708400,-0.3548514624,-0.3602726856,-0.3525538266,-0.3476798091,-0.3432793742,-0.3391861366,-0.3356744939,-0.3324100104,-0.3295134455,-0.3270117059,-0.3243271163,-0.3223006555,-0.3214952731,-0.3204473355,-0.3207851404,-0.3314441774,-0.3174653345,-0.3344018795,-0.3124651594,-0.4041259204,-0.3691414016,-0.3767398028,-0.4153513617,-0.2323738811,-0.2094710361,-0.0653955759,0.2697943887,0.5930716336,1.5737481249,2.9306938144,4.4552504806,7.0572781297,10.7157030080
"Atmospheric concentration C (ppm)",399.5305164319,418.4656574075,433.1326350804,445.0925097128,456.9727708580,468.4767272464,479.3263136033,489.2619329362,498.0431283905,505.4497335206,511.2832679062,515.3684306430,517.5546077212,517.7173558388,515.7598563295,511.6143467282,505.2435274921,496.6418937052,485.8368304305,472.8866592182,457.8844890822,440.9628996195,422.2993033060,402.1220673596,380.7172835250,358.4357399671,335.6990660782,313.0031028689,290.9152385159,270.0609006081,251.0932653296,234.6410088509,221.2338019716,211.2156847985,204.6697693960,201.3847473839,200.8840106686,202.5127726624,205.5538118271,209.3350953225,213.3036864673,217.0585487372,220.3491056587,223.0525633005,225.1424656203,226.6571985394,227.6730081952,228.2832410694,228.5835939160,228.6625715910,228.5960653701,228.4463630146,228.2540797857,228.0578556962,227.8752821890,227.7175334283,227.5890274817,227.4896370124,227.4165305912,227.3752462896,227.3352521275,227.3111953937,227.2989066692,227.2944873695,227.2962207969,227.3033595697,227.3146105659,227.3272578782,227.3373748192,227.3420613604,227.3507005145,227.3611223034,227.3730034839,227.3861692227,227.4002847692,227.4152613962,227.4309291792,227.4471076653,227.4639930169,227.4812031870,227.4980332065,227.5147842791,227.5306497836,227.5391822274,227.5570610787,227.5632153255,227.5840408551,227.5448404030,227.5340983345,227.5198707501,227.4823811020,227.5659590500,227.6527513724,227.8221511318,228.1884407738,228.7237596629,229.8361071300,231.7069955482,234.3741254744,238.4667730407
"Atmospheric Temperature ",0.8500000000,1.0163416484,1.1828897913,1.3458011575,1.5050947971,1.6604747911,1.8114209249,1.9572585395,2.0972115738,2.2304420748,2.3560788617,2.4732375497,2.5810337497,2.6785909515,2.7650443502,2.8395416844,2.9012419920,2.9493130375,2.9799720570,2.9927696287,2.9872028388,2.9627249713,2.9187633194,2.8547496424,2.7701698066,2.6646415820,2.5380319283,2.3906259937,2.2233563265,2.0380868570,1.8379148691,1.6274026094,1.4125940539,1.2006603453,0.9991142972,0.8147440991,0.6526116541,0.5154662839,0.4037170755,0.3158556427,0.2490940153,0.2000025754,0.1650232235,0.1408192801,0.1244761340,0.1135875106,0.1062638413,0.1010930971,0.0970761313,0.0935517540,0.0901214511,0.0865830514,0.0828548153,0.0789555428,0.0749426620,0.0708923716,0.0668814651,0.0629766087,0.0592292865,0.0556973788,0.0523596561,0.0492319696,0.0463183195,0.0436130066,0.0411069980,0.0387906288,0.0366523998,0.0346758707,0.0328374503,0.0311097225,0.0294907701,0.0279737759,0.0265519880,0.0252190590,0.0239686190,0.0227948558,0.0216922527,0.0206555262,0.0196804795,0.0187625070,0.0178958894,0.0170762974,0.0162980153,0.0155408866,0.0148264158,0.0141238728,0.0134683322,0.0127151216,0.0119456067,0.0111557247,0.0102954766,0.0096598241,0.0092292944,0.0091729446,0.0099051128,0.0117198323,0.0158191614,0.0236501668,0.0365187632,0.0569137551
"Output Net Net) ",125.6492445508,149.0585861357,174.6786447784,202.9668532535,233.7633808357,267.0611242047,302.8560558509,341.1494036798,381.9501766948,425.2779442340,471.1657668770,519.6631786950,570.8391241216,624.7847498671,681.6159312598,741.4753527441,804.5338246443,870.9902252944,941.1775956249,1015.4011639203,1093.9870922389,1177.2820686516,1265.6501776875,1359.4663692705,1459.1052850919,1564.9235203497,1677.2327508957,1796.2609801964,1922.1005058881,2054.6457641089,2193.5334867137,2338.1101939311,2487.4597068750,2640.5117446325,2796.2149712971,2953.7141396842,3112.4605293068,3272.2224182155,3433.0155993607,3595.0015846368,3758.3947868146,3923.3984072720,4090.1703898247,4258.8118336455,4429.3686923208,4601.8395269142,4776.1848754608,4952.3359637165,5130.2020010826,5309.6760022318,5490.6397635601,5672.9650327890,5856.5226833047,6041.1765156978,6226.7912933715,6413.2316972193,6600.3636570643,6788.0550356064,6976.1784161988,7164.5995344410,7353.2016560599,7541.8613604905,7730.4603539853,7918.8839101324,8107.0204535544,8294.7614871004,8482.0016778716,8668.6390684568,8854.5755085545,9039.7185032238,9223.9758455126,9407.2602863525,9589.4880356882,9770.5788127038,9950.4558305713,10129.0455287302,10306.2772565804,10482.0827796656,10656.3950429348,10829.1465104985,11000.2662615234,11169.6739683079,11337.2699734859,11502.9223654160,11666.4275331879,11827.4725228843,11985.5192520459,12139.6815659270,12288.3850666339,12428.8758366037,12556.2696059996,12773.5442593428,12970.0948705173,13151.3013201630,13320.9551637958,13481.7911047593,13635.7066516480,13784.0470166887,13927.7742589769,14067.4958921309
"Climate Damages fraction output",0.0044578250,0.0063733036,0.0086332384,0.0111749853,0.0139769648,0.0170117792,0.0202452864,0.0236364123,0.0271374887,0.0306949593,0.0342503339,0.0377412975,0.0411029063,0.0442688213,0.0471725515,0.0497486913,0.0519341554,0.0536694204,0.0547910405,0.0552626542,0.0550572595,0.0541586512,0.0525633364,0.0502830044,0.0473475975,0.0438089421,0.0397447094,0.0352621216,0.0305002434,0.0256289339,0.0208418347,0.0163408702,0.0123117535,0.0088945811,0.0061590753,0.0040956950,0.0026278152,0.0016394029,0.0010056327,0.0006155487,0.0003828351,0.0002468064,0.0001680255,0.0001223515,0.0000955999,0.0000796061,0.0000696717,0.0000630563,0.0000581447,0.0000539994,0.0000501120,0.0000462542,0.0000423566,0.0000384636,0.0000346532,0.0000310087,0.0000275992,0.0000244705,0.0000216450,0.0000191406,0.0000169153,0.0000149548,0.0000132370,0.0000117359,0.0000104260,0.0000092841,0.0000082888,0.0000074189,0.0000066531,0.0000059714,0.0000053661,0.0000048282,0.0000043499,0.0000039241,0.0000035446,0.0000032060,0.0000029033,0.0000026324,0.0000023898,0.0000021720,0.0000019760,0.0000017992,0.0000016389,0.0000014902,0.0000013563,0.0000012308,0.0000011192,0.0000009975,0.0000008804,0.0000007679,0.0000006540,0.0000005757,0.0000005256,0.0000005192,0.0000006053,0.0000008475,0.0000015440,0.0000034511,0.0000082284,0.0000199857
"Consumption Per Capita ",12.5898255299,14.1250794402,15.7919507710,17.5990417444,19.5464464362,21.6352117081,23.8670652521,26.2443228100,28.7699170947,31.4475089051,34.2816523227,37.2779933485,40.4434864535,43.7866172952,47.3176233083,51.0487084893,54.9942575242,59.1710740438,63.6013152111,68.3083069224,73.3166961366,78.6523228719,84.3417806991,90.4116004028,96.8869689234,103.7898968537,111.1367951573,118.9355459461,127.1823785907,135.8591784522,144.9321621402,154.3529403583,164.0626095940,173.9985885735,184.1027438996,194.3285664325,204.6453453620,215.0384662305,225.5064628294,236.0564116327,246.6993013793,257.4464216468,268.3071068473,279.2876813252,290.3912458709,301.6179432847,312.9654308457,324.4293922920,336.0040060245,347.6823398801,359.4566702914,371.3187245243,383.2599258172,395.2714710744,407.3445047024,419.4701910038,431.6397782140,443.8446438160,456.0763245885,468.3264769615,480.5870870121,492.8502533581,505.1082820999,517.3537009365,529.5792495897,541.7778841933,553.9427850123,566.0673682183,578.1452928555,590.1704717353,602.1370195191,614.0393024631,625.8719352784,637.6297895922,649.3080032666,660.9020038307,672.4075330298,683.8207236525,695.1381981746,706.3572594209,717.4762760512,728.4952414327,739.4168985775,750.2486706902,761.0059605790,771.7182187675,782.4393845087,793.2668063260,804.3743379328,816.0731622742,809.8495077517,823.8630900762,836.5400331863,848.2273255177,859.1695122737,869.5429742397,879.4700952048,889.0376372443,898.3076500593,907.3193161038
"Carbon Price (per t CO2)",2.4151157107,61.2792002712,126.3106288582,147.0019157362,169.6552453450,194.2233048562,220.6365163546,248.8001900331,278.5923736565,309.8622084539,342.4285745394,376.0787981797,410.5672118151,445.6134273815,480.9003421621,516.0722119989,550.7337194465,584.4520397652,616.8024042121,647.2744930425,675.2628466174,700.0552627223,720.8216667495,736.6077046964,746.3400384279,748.8546625007,742.9646716590,727.5881642762,701.9551007404,665.8946584444,620.1610727264,566.6863532660,508.5873967686,449.7812396810,394.2374171254,345.1434213278,304.3558362402,272.3315671082,248.4441285831,231.4414669406,219.8473548660,212.2278412639,207.3308791960,204.1386549475,201.8701255844,199.9596511826,198.0248986711,195.8328829117,193.2664095575,190.2932584303,186.9276951785,183.2846300344,179.3469598804,175.2671791123,171.0998117528,166.9083141154,162.7426532706,158.6391732135,154.5380091433,150.7542011939,146.9331593424,143.2218101847,139.6238476616,136.1241879472,132.7147902699,129.3996444632,126.1913501335,123.1023442911,120.1256683945,117.1471759391,114.2595026688,111.4467587491,108.7061651727,106.0376901653,103.4376025456,100.9050175260,98.4385263146,96.0328746651,93.6919402177,91.4180359768,89.2002017729,87.0478930575,85.0207346755,82.8795374555,81.0032849214,78.9076743345,77.6664532564,75.5775243946,73.8412395237,72.3831867648,69.3239116617,67.4729389305,64.7537310325,60.6351174237,56.6379207500,47.9269527700,37.0260368713,25.9107812737,11.0092334493,0.0000000000
"Emissions Control Rate",0.0300000000,0.2300000000,0.3672224354,0.4101835670,0.4557776851,0.5038879277,0.5543909106,0.6071507543,0.6620148426,0.7188105777,0.7773425504,0.8373896501,0.8987017495,0.9609957249,1.0239507813,1.0872034328,1.1503431893,1.2129113154,1.2744546900,1.3343984755,1.3920277038,1.4464624445,1.4966283570,1.5412260834,1.5787060295,1.6072609060,1.6248569684,1.6293360494,1.6186300522,1.5911269719,1.5461933812,1.4847722173,1.4098445260,1.3264493682,1.2410395077,1.1602693549,1.0896692824,1.0327365391,0.9907027727,0.9628824386,0.9473172068,0.9414412771,0.9426031170,0.9483950399,0.9568153672,0.9663160774,0.9757806772,0.9844710850,0.9919603335,0.9980638167,1.0027365184,1.0062750261,1.0085415433,1.0099968477,1.0107883268,1.0111139616,1.0111413268,1.0110022675,1.0104499155,1.0107836918,1.0105593790,1.0103917485,1.0103129811,1.0102709400,1.0102410010,1.0102542926,1.0103878951,1.0107254703,1.0112563433,1.0113893543,1.0116162788,1.0118645246,1.0121297570,1.0124232518,1.0127344720,1.0130693025,1.0134305319,1.0137955151,1.0142007337,1.0146752551,1.0151562747,1.0157229969,1.0168374179,1.0167172103,1.0182557251,1.0176873085,1.0237239580,1.0224791846,1.0238068673,1.0272516660,1.0158447018,1.0147371010,1.0047549067,0.9797028967,0.9537969546,0.8729680897,0.7547882255,0.6134872358,0.3650484463,0.0000000000
