
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000
"Year",2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000
"Objective function (2019$)",6659.4768547209
"Industrial CO2 GtCO2/yr",37.3362001005,38.1313227748,34.5152393189,35.1352801375,35.5407017676,35.5613826035,35.1493504650,34.9930314249,34.5283326256,33.7296365228,32.5674002763,31.0077832065,29.0123345862,26.5376530038,23.5349142776,19.9490618829,15.7171155227,11.4735188721,6.5724669385,0.9305380788,-5.5567680630,-12.8863979452,-13.6124835221,-14.3956169006,-15.2351149482,-16.1321741605,-17.0891858102,-18.1093036394,-19.1944735942,-20.3299701723,-21.5174736536,-22.7586343795,-24.0550181251,-25.4080058975,-26.8185985177,-28.2870295641,-29.8119968836,-15.6945696083,-16.5301700705,-17.3859624271,-18.2654439727,-19.1713213573,-20.1056980052,-21.0702375605,-22.0662842164,-23.0949475160,-24.1571615034,-25.2537258587,-26.3853343608,-27.5525943639,-28.7560398607,-29.9961399548,-31.2733040622,-32.5878848092,-33.9401793553,-35.3304296825,-36.7588222407,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
"Atmospheric concentration C (ppm)",416.2031931455,429.9148114037,441.2038084307,452.8951184663,464.6853187237,476.3805660803,487.7949218758,499.1358977772,510.2422893533,520.9640702574,531.1405402047,540.5940066140,549.1265404197,556.5174456497,562.5209286942,566.8637571645,569.2425258065,569.7172627585,567.9557093796,563.6101541873,556.2991187704,545.6748233252,535.7863471161,526.2447007465,516.8321409452,507.4211934307,497.9324679932,488.3123272840,478.5220923322,468.5416361774,458.3552365410,447.9506182985,437.3186231874,426.4532641033,415.3520747722,404.0167798352,392.4544341515,389.5716102228,385.2027482025,380.1159469605,374.5986425207,368.7581705528,362.6372695001,356.2565935755,349.6299226015,342.7695219348,335.6880679302,328.3994130207,320.9189611525,313.2638941586,305.4533047728,297.5082245424,289.4515079881,281.3075292753,273.1016717490,264.8596652665,256.6069736535,266.6200596058,272.2259393308,276.1338769362,278.9630670903,281.0879273409,282.7490794492,284.1014819041,285.2450325975,286.2442263256,287.1407883157,287.9618012460,288.7249355377,289.4418147328,290.1201794264,290.7652772681,291.3807547488,291.9692285931,292.5326513658,293.0725450920,293.5901503482,294.0865213020,294.5625862438,295.0191861231,295.4570990875
"Atmospheric concentrations GtC",886.5128014000,915.7185482898,939.7641119573,964.6666023332,989.7797288815,1014.6906057510,1039.0031835953,1063.1594622655,1086.8160763225,1109.6534696482,1131.3293506359,1151.4652340878,1169.6395310939,1185.3821592339,1198.1695781187,1207.4198027604,1212.4865799678,1213.4977696756,1209.7456609786,1200.4896284189,1184.9171229810,1162.2873736826,1141.2249193572,1120.9012125900,1100.8524602133,1080.8071420074,1060.5961568255,1040.1052571149,1019.2520566676,997.9936850578,976.2966538324,954.1348169758,931.4886673892,908.3454525400,884.6999192647,860.5557410489,835.9279447427,829.7875297745,820.4818536713,809.6469670258,797.8951085691,785.4549032774,772.4173840352,758.8265443157,744.7117351412,730.0990817211,715.0155846913,699.4907497340,683.5573872548,667.2520945577,650.6155391660,633.6925182753,616.5317120146,599.1850373564,581.7065608254,564.1510870176,546.5728538820,567.9007269603,579.8412507746,588.1651578741,594.1913329023,598.7172852361,602.2555392268,605.1361564557,607.5719194328,609.7002020735,611.6098791125,613.3586366539,614.9841126953,616.5110653809,617.9559821783,619.3300405810,620.6410076150,621.8944569034,623.0945474092,624.2445210460,625.3470202416,626.4042903732,627.4183086993,628.3908664421,629.3236210563
"Atmospheric temperaturer (deg c above preind) ",1.2471500000,1.4248440903,1.5463165860,1.6481447509,1.7435344014,1.8355835950,1.9244084730,2.0107163115,2.0944749528,2.1751116661,2.2518912768,2.3240014347,2.3905626731,2.4506173412,2.5031104065,2.5468639283,2.5805426838,2.5975234050,2.6011335415,2.5911288154,2.5659428068,2.5234844255,2.4760724042,2.4287914738,2.3821992730,2.3358171325,2.2890249403,2.2412523596,2.1919985906,2.1408530707,2.0874497457,2.0314479560,1.9725234626,1.9103641108,1.8446683851,1.7751467176,1.7015265751,1.6651941949,1.6350796213,1.6027239712,1.5668624914,1.5275359566,1.4848731906,1.4389227840,1.3896721801,1.3370780002,1.2810843633,1.2216326012,1.1586669053,1.0921383764,1.0220084714,0.9482520503,0.8708597890,0.7898394845,0.7052157462,0.6170279660,0.5253276212,0.5580256033,0.5991965035,0.6314557575,0.6540641866,0.6693442467,0.6795685557,0.6864134621,0.6910166095,0.6941276433,0.6962359341,0.6976607416,0.6986111601,0.6992250941,0.6995943944,0.6997810298,0.6998274899,0.6997634859,0.6996102750,0.6993834590,0.6990948042,0.6987534306,0.6983665955,0.6979402146,0.6974792136
"Total forcings w/m2",2.7918384643,3.0139137946,3.1948395668,3.3638747015,3.5290935187,3.6881724048,3.8387473860,3.9830905875,4.1205680691,4.2495334359,4.3683485929,4.4753032284,4.5685685694,4.6461546049,4.7058617842,4.7452209695,4.7614122195,4.7351659754,4.6836487265,4.6033701596,4.4900141830,4.3388870666,4.1911529037,4.0513475864,3.9163657131,3.7840596963,3.6528253220,3.5213706169,3.3885968542,3.2536421977,3.1157150097,2.9740745295,2.8280192529,2.6768807496,2.5200224119,2.3568442352,2.1867968887,2.1403288592,2.0797693056,2.0073113910,1.9269208549,1.8399849200,1.7469435584,1.6478954047,1.5428178659,1.4316467504,1.3143065924,1.1907245123,1.0608389961,0.9246072692,0.7820121420,0.6330680545,0.4778254185,0.3163720015,0.1488302489,-0.0246492740,-0.2038948460,0.0133362008,0.1388825735,0.2262150544,0.2896230094,0.3374784457,0.3750473482,0.4056838772,0.4315441772,0.4540259911,0.4740434137,0.4922004173,0.5089012171,0.5244207931,0.5389500939,0.5526250830,0.5655454456,0.5777866675,0.5894078613,0.6004568607,0.6109735574,0.6209921057,0.6305423957,0.6396510513,0.6483421192
"Forcings, exogenous w/m2",-0.0540000000,-0.0340625000,-0.0141250000,0.0058125000,0.0257500000,0.0456875000,0.0656250000,0.0855625000,0.1055000000,0.1254375000,0.1453750000,0.1653125000,0.1852500000,0.2051875000,0.2251250000,0.2450625000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000,0.2650000000
"CO2 forcings w/m2",2.3278384643,2.5116161946,2.6585763020,2.8068620605,2.9525749679,3.0935067120,3.2277562174,3.3580668696,3.4828436222,3.6007491267,3.7104345359,3.8104603752,3.8992513530,3.9750542632,4.0358901104,4.0794944795,4.1032372264,4.1079637492,4.0904057187,4.0468580758,3.9728295158,3.8634995138,3.7598117208,3.6579303278,3.5556009535,3.4514087383,3.3443803471,3.2337669936,3.1189376345,2.9994331095,2.8748084848,2.7446215115,2.6084277044,2.4657799264,2.3162321031,2.1593482793,1.9947203706,1.9529184772,1.8889752167,1.8136039304,1.7307049813,1.6416093029,1.5467084021,1.4460591851,1.3396031309,1.2272451135,1.1088830330,0.9844210777,0.8537779889,0.7168939920,0.5737372603,0.4243096313,0.2686506662,0.1068387898,-0.0610115964,-0.2347568528,-0.4142312213,-0.1971971684,-0.0792216573,0.0015923116,0.0593878278,0.1024109544,0.1358192382,0.1628734745,0.1856494205,0.2054756055,0.2232065318,0.2393948619,0.2544006340,0.2684607910,0.2817335321,0.2943266233,0.3063154718,0.3177546601,0.3286853029,0.3391397379,0.3491445147,0.3587223000,0.3678930929,0.3766750016,0.3850847404
